,y,x,pairs,halflife,hedge_ratio,short,long
0,PETR3,PETR4,"('PETR3', 'PETR4')",23,1.133680309121979,1.618126154507451,-1.680746546515109
1,BBDC4,BBDC3,"('BBDC4', 'BBDC3')",104,1.2026164882149974,1.6211073091926198,-1.7783996382581477
2,GGBR4,GOAU4,"('GGBR4', 'GOAU4')",98,2.210286186528904,1.5249234597942296,-1.792110489842517
3,ELET3,ELET6,"('ELET3', 'ELET6')",140,0.981429869282268,1.575376761890193,-1.8449835583306962
4,AZUL4,GOLL4,"('AZUL4', 'GOLL4')",128,1.4931147703456238,1.691287801240266,-1.84365400771159
5,ITSA4,ITUB4,"('ITSA4', 'ITUB4')",194,0.336221894788253,1.6447337211455824,-1.962608497058786
6,VALE3,BRAP4,"('VALE3', 'BRAP4')",45,2.9870206999662763,1.6816114940380953,-1.663444882926739
