time,AZUL4,GOLL4,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2022-12-09 11:55:00,,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:00:00,,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:05:00,,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:10:00,,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:15:00,,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:20:00,,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:25:00,10.6,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:30:00,10.57,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:35:00,10.63,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:40:00,10.62,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:45:00,10.6,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:50:00,10.61,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 12:55:00,10.58,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:00:00,10.6,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:05:00,10.61,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:10:00,10.57,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:15:00,10.59,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:20:00,10.58,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:25:00,10.57,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:30:00,10.56,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:35:00,10.55,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:40:00,10.56,,,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:45:00,10.55,7.47,-0.6035673344818093,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:50:00,10.57,7.48,-0.598498482185267,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 13:55:00,10.59,7.47,-0.5635673344818102,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:00:00,10.59,7.47,-0.5635673344818102,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:05:00,10.59,7.46,-0.5486361867783529,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:10:00,10.61,7.47,-0.5435673344818106,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:15:00,10.58,7.46,-0.5586361867783527,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:20:00,10.61,7.5,-0.5883607775921789,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:25:00,10.59,7.5,-0.6083607775921784,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:30:00,10.6,7.5,-0.5983607775921786,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:35:00,10.56,7.49,-0.6234296298887223,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:40:00,10.52,7.44,-0.5887738913714422,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:45:00,10.44,7.36,-0.5493247097437912,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:50:00,10.43,7.36,-0.559324709743791,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 14:55:00,10.43,7.36,-0.559324709743791,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 15:00:00,10.42,7.36,-0.5693247097437908,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 15:05:00,10.39,7.36,-0.5993247097437902,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 15:10:00,10.42,7.38,-0.5991870051507036,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 15:15:00,10.43,7.36,-0.559324709743791,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 15:20:00,10.38,7.34,-0.5794624143368772,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
2022-12-09 15:25:00,10.4,7.33,-0.5445312666334221,,1.691287801240266,-1.84365400771159,False,False,,False,False,,,1.4931147703456238
