time,VALE3,BRAP4,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2022-12-09 11:55:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:00:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:05:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:10:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:15:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:20:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:25:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:30:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:35:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:40:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:45:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:50:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 12:55:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:00:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:05:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:10:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:15:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:20:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:25:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:30:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:35:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:40:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:45:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:50:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 13:55:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:00:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:05:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:10:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:15:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:20:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:25:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:30:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:35:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:40:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:45:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:50:00,,,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 14:55:00,,29.9,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 15:00:00,,29.93,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 15:05:00,,29.92,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 15:10:00,,30.01,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 15:15:00,,30.03,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 15:20:00,,29.9,,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 15:25:00,86.81,29.96,-2.681140170989636,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 15:30:00,86.96,29.97,-2.561010377989305,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 15:35:00,87.12,29.98,-2.430880584988955,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 15:40:00,87.07,29.92,-2.3016593429910017,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
2022-12-09 15:45:00,87.03,29.87,-2.1923083079926755,,1.6816114940380953,-1.663444882926739,False,False,,False,False,,,2.9870206999662763
