time,PETR3,PETR4,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2022-12-20 11:35:00,25.73,22.5,0.22219304475547474,1.7164153436075513,1.618126154507451,-1.680746546515109,False,True,0.0,True,False,-1.0,-1.0,1.133680309121979
2022-12-20 11:40:00,25.61,22.43,0.1815506663940134,1.271052814530488,1.618126154507451,-1.680746546515109,False,True,0.0,False,False,-1.0,-1.0,1.133680309121979
2022-12-20 11:45:00,25.57,22.46,0.10754025712035187,0.4752342307607767,1.618126154507451,-1.680746546515109,False,True,0.0,False,False,-1.0,-1.0,1.133680309121979
2022-12-20 11:50:00,25.59,22.51,0.0708562416642522,0.08135383468122753,1.618126154507451,-1.680746546515109,False,True,0.0,False,False,-1.0,-1.0,1.133680309121979
2022-12-20 11:55:00,25.68,22.6,0.05882501384327554,-0.04917852195548312,1.618126154507451,-1.680746546515109,False,False,0.0,False,True,0.0,0.0,1.133680309121979
2022-12-20 12:00:00,25.66,22.56,0.08417222620815679,0.2199437377912665,1.618126154507451,-1.680746546515109,False,True,0.0,False,False,0.0,0.0,1.133680309121979
2022-12-20 12:05:00,25.65,22.58,0.051498620025714814,-0.13275847362258827,1.618126154507451,-1.680746546515109,False,False,0.0,False,True,0.0,0.0,1.133680309121979
2022-12-20 12:10:00,25.72,22.66,0.030804195295957015,-0.3557028357897408,1.618126154507451,-1.680746546515109,False,False,0.0,False,True,0.0,0.0,1.133680309121979
2022-12-20 12:15:00,25.72,22.66,0.030804195295957015,-0.3553999944254429,1.618126154507451,-1.680746546515109,False,False,0.0,False,True,0.0,0.0,1.133680309121979
2022-12-20 12:20:00,25.73,22.64,0.06347780147839543,-0.005095023633020036,1.618126154507451,-1.680746546515109,False,False,0.0,False,True,0.0,0.0,1.133680309121979
2022-12-20 12:25:00,25.73,22.67,0.029467392204736598,-0.36901657337825305,1.618126154507451,-1.680746546515109,False,False,0.0,False,True,0.0,0.0,1.133680309121979
2022-12-20 12:30:00,25.83,22.79,-0.006574244889900882,-0.7535438234695628,1.618126154507451,-1.680746546515109,False,False,0.0,False,True,0.0,0.0,1.133680309121979
2022-12-20 12:35:00,25.9,22.8,0.05208895201887742,-0.12601654692793673,1.618126154507451,-1.680746546515109,False,False,0.0,False,True,0.0,0.0,1.133680309121979
2022-12-20 12:40:00,25.95,22.82,0.07941534583644128,0.16514235321216897,1.618126154507451,-1.680746546515109,False,True,0.0,False,False,0.0,0.0,1.133680309121979
