time,ELET3,ELET6,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2022-12-09 11:55:00,,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:00:00,,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:05:00,,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:10:00,,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:15:00,42.78,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:20:00,42.84,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:25:00,42.93,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:30:00,42.77,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:35:00,42.73,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:40:00,42.68,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:45:00,42.73,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:50:00,42.69,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 12:55:00,42.64,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:00:00,42.66,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:05:00,42.76,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:10:00,42.65,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:15:00,42.75,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:20:00,42.88,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:25:00,42.87,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:30:00,42.85,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:35:00,42.88,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:40:00,42.87,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:45:00,42.86,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:50:00,42.92,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 13:55:00,42.91,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:00:00,42.97,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:05:00,42.98,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:10:00,42.97,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:15:00,42.92,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:20:00,42.9,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:25:00,42.88,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:30:00,42.93,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:35:00,42.93,,,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:40:00,42.92,45.34,-1.5780302732580367,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:45:00,42.81,45.25,-1.599701585022629,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:50:00,42.77,45.24,-1.6298872863298044,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 14:55:00,42.74,45.21,-1.6304443902513341,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 15:00:00,42.72,45.18,-1.621001494172873,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 15:05:00,42.73,45.17,-1.6011871954800512,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 15:10:00,42.74,45.21,-1.6304443902513341,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 15:15:00,42.74,45.24,-1.6598872863298055,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 15:20:00,42.77,45.24,-1.6298872863298044,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 15:25:00,42.76,45.22,-1.620258688944162,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 15:30:00,42.83,45.28,-1.6091444811010973,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 15:35:00,42.82,45.31,-1.6485873771795667,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
2022-12-09 15:40:00,42.87,45.35,-1.6378445719508576,,1.575376761890193,-1.844983558330696,False,False,,False,False,,,0.981429869282268
