time,ITSA4,ITUB4,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2022-12-09 11:55:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:00:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:05:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:10:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:15:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:20:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:25:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:30:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:35:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:40:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:45:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:50:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 12:55:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:00:00,,,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:05:00,,24.13,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:10:00,,24.09,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:15:00,,24.12,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:20:00,,24.16,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:25:00,,24.15,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:30:00,,24.16,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:35:00,,24.18,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:40:00,,24.18,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:45:00,,24.19,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:50:00,,24.21,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 13:55:00,,24.19,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:00:00,,24.19,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:05:00,,24.19,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:10:00,,24.19,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:15:00,,24.18,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:20:00,,24.18,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:25:00,,24.16,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:30:00,,24.16,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:35:00,,24.14,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:40:00,,24.11,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:45:00,,24.07,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:50:00,,24.07,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 14:55:00,,24.06,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 15:00:00,,24.09,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 15:05:00,,24.09,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 15:10:00,,24.11,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 15:15:00,,24.08,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 15:20:00,,24.09,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 15:25:00,,24.08,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 15:30:00,,24.08,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 15:35:00,,24.09,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 15:40:00,,24.12,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 15:45:00,,24.1,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
2022-12-09 15:50:00,,24.13,,,1.6447337211455824,-1.962608497058786,False,False,,False,False,,,0.336221894788253
