time,GGBR4,GOAU4,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2022-12-09 11:55:00,29.65,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:00:00,29.69,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:05:00,29.65,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:10:00,29.57,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:15:00,29.6,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:20:00,29.48,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:25:00,29.53,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:30:00,29.51,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:35:00,29.55,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:40:00,29.54,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:45:00,29.52,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:50:00,29.51,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 12:55:00,29.55,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:00:00,29.58,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:05:00,29.6,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:10:00,29.57,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:15:00,29.67,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:20:00,29.65,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:25:00,29.66,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:30:00,29.67,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:35:00,29.7,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:40:00,29.74,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:45:00,29.73,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:50:00,29.76,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 13:55:00,29.89,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:00:00,29.88,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:05:00,29.88,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:10:00,29.9,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:15:00,29.83,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:20:00,29.81,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:25:00,29.81,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:30:00,29.8,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:35:00,29.74,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:40:00,29.73,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:45:00,29.73,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:50:00,29.74,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 14:55:00,29.75,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 15:00:00,29.84,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 15:05:00,29.83,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 15:10:00,29.84,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 15:15:00,29.79,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 15:20:00,29.72,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 15:25:00,29.74,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 15:30:00,29.74,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 15:35:00,29.77,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 15:40:00,29.75,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 15:45:00,29.75,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
2022-12-09 15:50:00,29.78,,,,1.5249234597942296,-1.792110489842517,False,False,,False,False,,,2.210286186528904
